Unidade;nome;matricula;Instante;Estado;Comunica;CoordX;CoordY;Linha;Rota;Posicao;Viagem;Velocidade
3336;E1;1626;2018-01-22 04:36:45.907;1;0;289753;9114291;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:22:23.637;1;1;290190;9114305;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:23:23.320;1;1;290460;9114531;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:24:22.850;1;1;290574;9114585;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:25:22.410;1;1;290679;9114793;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:26:21.953;1;1;290950;9114709;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:27:21.497;1;1;291345;9114606;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:28:21.027;1;1;291658;9114381;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:29:20.820;1;1;291789;9114108;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:30:20.677;1;1;291640;9113526;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:31:20.237;1;1;291439;9113304;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:32:19.827;1;1;291206;9113062;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:33:19.387;1;1;291270;9112646;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:34:18.930;1;1;291363;9112181;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:35:18.490;1;1;291508;9111471;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:36:18.067;1;1;291246;9111148;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:37:17.827;1;1;291358;9111018;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:38:17.403;1;1;291642;9110894;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:39:16.993;1;1;292092;9110711;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:40:16.817;1;1;292427;9110413;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:41:16.440;1;1;292805;9110223;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:42:16.047;1;1;293090;9110005;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:43:16.293;1;1;293041;9109835;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:44:15.057;1;1;292806;9109494;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:45:14.663;1;1;292637;9109302;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:46:14.363;1;1;292596;9108777;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:47:13.987;1;1;292868;9108606;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:48:13.547;1;1;292786;9108367;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:49:13.137;1;1;292501;9107815;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:50:12.710;1;1;292374;9107599;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:51:12.270;1;1;292572;9107267;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:52:12.330;1;1;293037;9107286;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:53:11.563;1;1;293284;9107680;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:54:10.577;1;1;293299;9107788;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:55:10.307;1;1;293040;9108186;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:56:09.850;1;1;292834;9108263;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:57:09.893;1;1;292645;9108375;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:58:08.597;1;0;292645;9108375;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 05:59:08.203;1;1;292708;9109331;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 06:00:07.857;1;1;293170;9109803;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 06:01:07.523;1;1;293320;9109724;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 06:02:07.287;1;1;293163;9109958;NULL;NULL;NULL;NULL;NULL
3336;E1;1626;2018-01-22 06:03:07.033;1;1;292348;9110468;NULL;NULL;NULL;NULL;NULL
